real12,pred12,real3,pred3
121.0,94.6646,105.0,88.33484
156.0,101.65423,108.0,89.85128
117.0,118.14704,88.0,89.8981
199.0,141.34627,99.0,90.83272
183.0,155.57578,132.0,94.00631
186.0,158.18968,159.0,89.61807
211.0,172.02621,105.0,94.31785
247.0,174.82967,90.0,95.24388
214.0,186.4865,168.0,114.033905
145.0,195.13292,121.0,130.14267
124.0,197.41475,156.0,130.18784
176.0,205.95409,117.0,139.78745
223.0,216.2603,199.0,151.87369
220.0,229.75697,183.0,169.53494
232.0,223.55171,186.0,171.81596
214.0,239.8276,211.0,189.5936
223.0,232.76517,247.0,193.8055
255.0,242.32494,214.0,203.50949
259.0,248.51465,145.0,210.65173
265.0,249.45131,124.0,212.00278
211.0,246.59596,176.0,221.36389
259.0,246.26138,223.0,224.00545
176.0,230.4189,220.0,209.9729
230.0,238.73663,232.0,208.5045
271.0,249.74539,214.0,211.49408
274.0,254.53545,223.0,221.62697
289.0,271.6363,255.0,236.3695
281.0,264.12546,259.0,228.11084
281.0,266.54388,265.0,229.7088
307.0,269.61734,211.0,236.41563
305.0,288.0438,259.0,249.53067
320.0,305.16312,176.0,260.5451
313.0,303.97675,230.0,259.77258
268.0,310.38913,271.0,260.88843
371.0,300.01617,274.0,245.8566
313.0,259.83182,289.0,236.06758
360.0,261.07126,281.0,238.00018
334.0,283.369,281.0,254.78746
338.0,285.85532,307.0,269.15933
325.0,293.1704,305.0,278.18176
334.0,279.2842,320.0,285.30008
310.0,323.66852,313.0,299.00223
313.0,346.18448,268.0,320.3869
343.0,360.55695,371.0,321.1344
350.0,359.11484,313.0,335.90955
385.0,346.6734,360.0,321.19223
374.0,348.90836,334.0,338.64685
408.0,340.31665,338.0,326.83725
360.0,330.65826,325.0,341.3227
378.0,316.64816,334.0,329.1346
374.0,313.93997,310.0,339.5047
378.0,327.7738,313.0,347.83997
415.0,329.21396,343.0,336.5566
371.0,337.1618,350.0,347.88092
350.0,329.5475,385.0,335.1576
411.0,330.6383,374.0,326.18594
356.0,336.5736,408.0,338.45154
302.0,333.63025,360.0,332.1468
395.0,334.01843,378.0,324.06268
325.0,341.29883,374.0,340.62384
374.0,356.78937,378.0,357.18237
230.0,353.0805,415.0,357.3297
343.0,344.1863,371.0,360.62732
341.0,347.60992,350.0,356.44644
334.0,369.3521,411.0,371.89484
329.0,375.922,356.0,372.84393
353.0,382.58972,302.0,383.29205
385.0,373.84106,395.0,372.74286
299.0,369.6981,325.0,373.89282
422.0,355.99915,374.0,364.1532
360.0,363.7276,230.0,366.3778
284.0,347.66174,343.0,346.00793
350.0,348.8424,341.0,351.46545
310.0,338.79294,334.0,343.0014
392.0,330.90692,329.0,334.53375
419.0,337.5163,353.0,338.4323
398.0,345.87442,385.0,335.9226
343.0,351.71738,299.0,347.38242
392.0,360.84464,422.0,337.44504
360.0,350.28513,360.0,342.7435
332.0,350.91412,284.0,339.83447
368.0,358.6277,350.0,348.63373
316.0,355.85645,310.0,350.98346
329.0,348.12048,392.0,342.22427
346.0,343.93155,419.0,340.59863
332.0,333.6563,398.0,330.81183
320.0,331.17273,343.0,336.94885
413.0,338.5374,392.0,342.86877
299.0,343.1277,360.0,349.65866
274.0,349.54453,332.0,352.3236
385.0,340.47092,368.0,343.49225
371.0,340.29828,316.0,344.1391
295.0,335.25543,329.0,345.10538
411.0,348.573,346.0,351.3605
413.0,340.94897,332.0,350.49615
341.0,345.47562,320.0,356.81647
400.0,344.92285,413.0,341.3575
302.0,349.64563,299.0,344.6949
395.0,350.7776,274.0,338.4997
346.0,357.02194,385.0,343.01068
289.0,355.768,371.0,339.53607
329.0,347.03983,295.0,343.78906
332.0,375.19366,411.0,350.3923
241.0,361.96222,413.0,353.51764
281.0,369.25967,341.0,351.3094
251.0,361.04288,400.0,356.67285
202.0,360.73996,302.0,352.81854
268.0,367.54974,395.0,355.76447
259.0,358.04578,346.0,355.5548
292.0,355.4533,289.0,355.221
220.0,351.6501,329.0,359.12683
274.0,346.76868,332.0,354.6452
255.0,335.6612,241.0,340.45477
305.0,323.94373,281.0,335.0669
230.0,328.9837,251.0,332.66437
268.0,325.12372,202.0,329.70844
271.0,316.89236,268.0,318.35867
265.0,314.6435,259.0,312.6
274.0,292.57968,292.0,292.2198
289.0,287.25027,220.0,282.46655
262.0,285.05426,274.0,274.10864
232.0,294.31705,255.0,285.45483
274.0,288.43457,305.0,271.38986
265.0,295.69095,230.0,276.79767
199.0,292.45322,268.0,270.92554
205.0,306.22397,271.0,290.7582
350.0,317.81897,265.0,292.0672
